charmmlipid.csv Version 2.0.1
residue,order,search,replace,TER,num_atom
POPC,0, C32 POPC, C12 PA  ,True,134
POPC,1, H2X POPC, H2R PA  ,True,134
POPC,2, H2Y POPC, H2S PA  ,True,134
POPC,3, C33 POPC, C13 PA  ,True,134
POPC,4, H3X POPC, H3R PA  ,True,134
POPC,5, H3Y POPC, H3S PA  ,True,134
POPC,6, C34 POPC, C14 PA  ,True,134
POPC,7, H4X POPC, H4R PA  ,True,134
POPC,8, H4Y POPC, H4S PA  ,True,134
POPC,9, C35 POPC, C15 PA  ,True,134
POPC,10, H5X POPC, H5R PA  ,True,134
POPC,11, H5Y POPC, H5S PA  ,True,134
POPC,12, C36 POPC, C16 PA  ,True,134
POPC,13, H6X POPC, H6R PA  ,True,134
POPC,14, H6Y POPC, H6S PA  ,True,134
POPC,15, C37 POPC, C17 PA  ,True,134
POPC,16, H7X POPC, H7R PA  ,True,134
POPC,17, H7Y POPC, H7S PA  ,True,134
POPC,18, C38 POPC, C18 PA  ,True,134
POPC,19, H8X POPC, H8R PA  ,True,134
POPC,20, H8Y POPC, H8S PA  ,True,134
POPC,21, C39 POPC, C19 PA  ,True,134
POPC,22, H9X POPC, H9R PA  ,True,134
POPC,23, H9Y POPC, H9S PA  ,True,134
POPC,24,C310 POPC,C110 PA  ,True,134
POPC,25,H10X POPC,H10R PA  ,True,134
POPC,26,H10Y POPC,H10S PA  ,True,134
POPC,27,C311 POPC,C111 PA  ,True,134
POPC,28,H11X POPC,H11R PA  ,True,134
POPC,29,H11Y POPC,H11S PA  ,True,134
POPC,30,C312 POPC,C112 PA  ,True,134
POPC,31,H12X POPC,H12R PA  ,True,134
POPC,32,H12Y POPC,H12S PA  ,True,134
POPC,33,C313 POPC,C113 PA  ,True,134
POPC,34,H13X POPC,H13R PA  ,True,134
POPC,35,H13Y POPC,H13S PA  ,True,134
POPC,36,C314 POPC,C114 PA  ,True,134
POPC,37,H14X POPC,H14R PA  ,True,134
POPC,38,H14Y POPC,H14S PA  ,True,134
POPC,39,C315 POPC,C115 PA  ,True,134
POPC,40,H15X POPC,H15R PA  ,True,134
POPC,41,H15Y POPC,H15S PA  ,True,134
POPC,42,C316 POPC,C116 PA  ,True,134
POPC,43,H16X POPC,H16R PA  ,True,134
POPC,44,H16Y POPC,H16S PA  ,True,134
